model,kf,MSE
none,0,0.0
ExplainableBoostingR,0,8.961833784177811
ExplainableBoostingR,1,9.224054841579003
ExplainableBoostingR,2,9.347418165626342
ExplainableBoostingR,3,9.315652241069625
ExplainableBoostingR,4,8.979058151545676
RFR,0,9.013654954938351
RFR,1,9.239647202677702
RFR,2,9.369079979529378
RFR,3,9.353163638168647
RFR,4,9.033858597518543
